raceId,driverId,constructorId,positionText,positionOrder,points,rank
36,25,3,R,18,0.0,16
36,14,9,R,19,0.0,11
36,9,2,R,20,0.0,4
36,26,5,R,21,0.0,21
36,27,12,R,22,0.0,22
37,4,1,1,1,10.0,2
37,1,1,2,2,8.0,1
37,8,6,3,3,6.0,4
37,2,2,4,4,5.0,5
37,13,6,5,5,4.0,3
37,21,4,6,6,3.0,9
37,15,7,7,7,2.0,10
37,5,4,8,8,1.0,7
37,25,3,9,9,0.0,8
37,17,9,10,10,0.0,14
37,22,11,11,11,0.0,15
37,18,11,12,12,0.0,16
37,11,8,13,13,0.0,13
37,26,5,14,14,0.0,18
37,23,7,15,15,0.0,19
37,19,8,16,16,0.0,20
37,24,5,17,17,0.0,12
37,9,2,18,18,0.0,17
37,3,3,R,19,0.0,6
37,14,9,R,20,0.0,11
37,27,12,R,21,0.0,21
37,16,12,R,22,0.0,\N
38,13,6,1,1,10.0,1
38,1,1,2,2,8.0,2
38,8,6,3,3,6.0,3
38,2,2,4,4,5.0,5
38,4,1,5,5,4.0,4
38,9,2,6,6,3.0,6
38,15,7,7,7,2.0,7
38,21,4,8,8,1.0,8
38,5,4,9,9,0.0,10
38,3,3,10,10,0.0,11
38,25,3,11,11,0.0,16
38,23,7,12,12,0.0,15
38,22,11,13,13,0.0,14
38,27,12,14,14,0.0,20
38,16,12,15,15,0.0,19
38,19,8,16,16,0.0,17
38,17,9,R,17,0.0,12
38,14,9,R,18,0.0,9
38,11,8,R,19,0.0,18
38,24,5,R,20,0.0,13
38,18,11,R,21,0.0,\N
38,26,5,R,22,0.0,\N
39,13,6,1,1,10.0,1
39,1,1,2,2,8.0,2
39,4,1,3,3,6.0,3
39,9,2,4,4,5.0,5
39,14,9,5,5,4.0,8
39,3,3,6,6,3.0,10
39,5,4,7,7,2.0,4
39,11,8,8,8,1.0,12
39,21,4,9,9,0.0,9
39,22,11,10,10,0.0,14
39,19,8,11,11,0.0,15
39,18,11,12,12,0.0,13
39,16,12,13,13,0.0,16
39,27,12,14,14,0.0,18
39,2,2,R,15,0.0,7
39,23,7,R,16,0.0,11
39,24,5,R,17,0.0,17
39,26,5,R,18,0.0,20
39,8,6,R,19,0.0,6
39,15,7,R,20,0.0,19
39,17,9,R,21,0.0,21
39,25,3,R,22,0.0,\N
40,4,1,1,1,10.0,1
40,1,1,2,2,8.0,2
40,13,6,3,3,6.0,4
40,21,4,4,4,5.0,5
40,9,2,5,5,4.0,3
40,2,2,6,6,3.0,12
40,25,3,7,7,2.0,7
40,8,6,8,8,1.0,6
40,26,5,9,9,0.0,10
40,22,11,10,10,0.0,13
40,18,11,11,11,0.0,9
40,3,3,12,12,0.0,11
40,5,4,13,13,0.0,14
40,14,9,14,14,0.0,8
40,15,7,15,15,0.0,18
40,23,7,16,16,0.0,17
40,11,8,17,17,0.0,15
40,19,8,18,18,0.0,16
40,27,12,19,19,0.0,20
40,16,12,R,20,0.0,19
40,17,9,R,21,0.0,21
40,24,5,R,22,0.0,\N
41,1,1,1,1,10.0,2
41,2,2,2,2,8.0,3
